menu_item_id,transaction_id,item_quantity
1,1,1
2,1,1
4,1,1
5,1,1
7,1,1
12,1,2
14,1,1
8,2,1
1,2,1
10,2,1
7,2,1
2,3,1
3,3,1
4,3,1
6,3,1
7,3,1
8,3,1
9,3,1
10,3,2
3,4,1
6,4,1
7,4,1
8,4,1
12,4,1
1,5,1
11,5,1
5,5,1
3,6,1
4,6,2
8,6,1
13,6,1
17,6,1
18,6,1
1,7,2
2,7,1
5,7,1
6,7,1
7,7,1
9,7,1
10,7,1
12,7,1
13,7,1
2,8,1
6,8,1
7,8,1
10,8,1
18,8,1
1,9,1
18,9,2
12,9,1
5,9,1
1,10,1
4,10,1
11,10,1
14,10,1
18,10,1
2,11,2
4,11,1
5,11,1
6,11,2
11,11,1
12,11,1
18,12,1
2,13,1
3,13,1
5,13,2
8,13,3
12,13,1
13,13,1
1,14,1
2,14,1
8,14,1
9,14,2
10,14,1
12,14,1
1,15,1
3,15,1
5,15,2
8,15,1
9,15,2
12,15,2
1,16,1
4,16,1
13,16,1
3,17,1
4,17,1
6,17,1
8,17,1
13,17,1
3,18,1
5,18,1
9,18,2
13,18,1
15,18,1
18,18,1
1,19,1
2,19,1
4,19,2
5,19,1
7,19,1
10,19,1
11,19,1
10,20,1
1,21,2
5,21,1
8,21,1
12,21,2
14,21,1
2,22,1
3,22,1
4,22,1
5,22,1
6,22,1
8,22,1
9,22,1
11,22,1
12,22,1
18,22,1
1,23,2
2,23,1
4,23,1
5,23,1
7,23,1
8,23,1
10,23,1
12,23,1
13,23,1
2,24,1
10,24,1
5,24,1
6,24,1
2,25,1
12,25,1
5,25,1
6,25,1
2,26,1
5,26,1
7,26,1
10,26,1
15,26,1
1,27,1
2,27,2
4,27,1
6,27,1
7,27,1
9,27,2
10,27,1
11,27,1
13,27,1
9,28,2
3,28,1
4,28,1
12,28,1
2,29,2
4,29,1
7,29,1
9,29,2
10,29,1
13,29,1
2,30,1
4,30,1
5,30,1
12,30,1
18,30,2
2,31,1
6,31,1
9,31,1
10,31,1
15,31,1
17,31,1
2,32,1
12,32,1
5,32,1
7,32,1
1,33,1
5,33,1
13,33,1
17,33,1
18,33,1
2,34,2
3,34,1
4,34,1
5,34,1
7,34,2
9,34,3
10,34,1
13,34,2
15,35,1
3,36,1
7,36,1
8,36,1
9,36,1
13,36,1
2,37,2
4,37,1
7,37,2
9,37,1
11,37,2
3,38,1
4,38,2
6,38,1
10,38,1
16,38,1
17,38,1
2,39,1
11,39,1
4,39,1
5,39,1
1,40,1
2,40,1
4,40,1
6,40,1
8,40,2
11,40,1
13,40,1
15,41,1
1,42,1
4,42,1
12,42,1
14,42,1
18,42,1
1,43,1
10,43,1
5,43,1
1,44,1
9,44,1
10,44,1
15,44,1
18,44,1
17,45,1
7,45,1
1,46,1
2,46,1
7,46,2
9,46,1
10,46,1
13,46,1
2,47,1
5,47,2
7,47,1
13,47,1
15,47,1
1,48,2
6,48,1
9,48,1
11,48,1
13,48,1
3,49,1
4,49,1
6,49,1
8,49,1
10,49,1
18,49,1
1,50,1
5,50,1
8,50,1
12,50,1
16,50,1
1,51,1
3,51,1
4,51,3
7,51,1
11,51,1
12,51,1
18,51,1
14,52,1
1,53,2
3,53,1
4,53,1
5,53,2
7,53,1
8,53,1
10,53,1
11,53,1
13,53,1
1,54,2
3,54,1
4,54,2
7,54,1
8,54,1
9,54,1
10,54,1
11,54,1
13,54,1
1,55,1
11,55,1
6,55,1
2,56,1
7,56,1
8,56,1
10,56,1
16,56,1
2,57,1
13,57,1
5,57,1
7,57,1
2,58,1
7,58,1
8,58,1
11,58,1
13,58,1
14,58,1
18,59,2
14,60,1
2,61,1
4,61,1
5,61,1
11,61,1
12,61,1
18,61,1
2,62,1
8,62,1
9,62,1
10,62,1
17,62,1
13,63,1
16,64,1
16,65,1
1,65,1
10,65,1
8,65,1
2,66,2
8,66,2
9,66,2
12,66,2
17,66,1
2,67,1
4,67,1
6,67,1
10,67,1
18,67,2
2,68,2
4,68,2
5,68,1
8,68,1
11,68,1
13,68,1
1,69,1
2,69,1
5,69,1
8,69,2
